stop_id,reachable_time
U50S1,05:20:36:000
U52S1,05:26:03:000
U75S1,05:14:50:000
U78S1,05:23:38:000
U100S1,05:16:53:000
U106S1,05:28:04:000
U115S1,05:18:22:000
U118S1,05:11:45:000
U135S1,05:16:52:000
U142S1,05:10:59:000
U157S1,05:17:13:000
U163S1,05:05:55:000
U190S1,05:13:49:000
U209S1,05:10:33:000
U228S1,05:22:03:000
U237S1,05:07:01:000
U258S1,05:21:08:000
U286S1,05:29:59:000
U306S1,05:23:17:000
U321S1,05:13:41:000
U332S1,05:23:33:000
U360S1,05:10:54:000
U385S1,05:18:46:000
U400S1,05:08:08:000
U458S1,05:10:54:000
U462S1,05:18:58:000
U474S1,05:12:58:000
U476S1,05:09:01:000
U480S1,05:03:03:000
U507S1,05:20:55:000
U510S1,05:11:24:000
U527S1,05:15:47:000
U529S1,05:09:33:000
U539S1,04:58:31:000
U597S1,05:17:20:000
U601S1,05:24:14:000
U602S1,05:17:45:000
U603S1,05:22:24:000
U655S1,05:07:43:000
U675S1,05:21:39:000
U685S1,05:15:40:000
U689S1,05:05:11:000
U703S1,05:09:29:000
U713S1,05:15:48:000
U758S1,05:06:10:000
U818S1,05:19:07:000
U897S1,05:21:01:000
U921S1,05:13:44:000
U953S1,05:18:35:000
U957S1,05:13:47:000
U1000S1,05:25:40:000
U1007S1,05:22:28:000
U1040S1,05:09:19:000
U1071S1,05:21:46:000
U1072S1,05:02:02:000
U1140S1,05:24:07:000
U1141S1,05:26:08:000
U1154S1,05:19:19:000
U1Z1P,05:27:00:000
U1Z2P,05:27:32:000
U3Z1P,05:17:00:000
U3Z1,05:17:00:000
U3Z2P,05:17:36:000
U3Z2,05:17:36:000
U4Z1P,05:06:43:000
U4Z2P,05:06:00:000
U4Z3P,05:05:00:000
U4Z4P,05:05:25:000
U5Z1P,06:06:00:000
U5Z2P,06:06:14:000
U6Z1P,05:47:00:000
U6Z2P,05:47:22:000
U9Z1,05:43:11:000
U9Z2,05:42:00:000
U10Z1,05:41:00:000
U10Z2,05:41:27:000
U11Z1P,06:22:00:000
U11Z2P,06:22:29:000
U12Z1P,05:13:20:000
U12Z2P,05:12:00:000
U12Z3P,05:13:15:000
U12Z6P,05:38:00:000
U12Z7P,05:38:23:000
U13Z1P,05:32:00:000
U13Z2P,05:22:00:000
U14Z1P,05:45:00:000
U14Z2P,05:45:23:000
U14Z2,05:45:23:000
U15Z1P,05:15:30:000
U15Z2P,05:15:00:000
U16Z1P,05:19:00:000
U16Z2P,05:20:14:000
U17Z1P,05:56:23:000
U17Z2P,05:55:00:000
U18Z1P,06:00:25:000
U18Z1,06:00:25:000
U18Z2P,06:00:00:000
U18Z2,06:00:00:000
U19Z1P,05:18:12:000
U19Z2P,05:17:00:000
U20Z1P,05:12:33:000
U20Z2P,05:12:00:000
U21Z1P,05:31:33:000
U21Z2P,05:31:00:000
U22Z1P,06:06:00:000
U22Z1,06:06:00:000
U22Z2P,06:06:37:000
U22Z2,06:06:37:000
U23Z1P,05:41:00:000
U23Z2P,05:41:48:000
U24Z1P,05:37:00:000
U24Z1,05:37:00:000
U24Z2P,05:38:05:000
U24Z2,05:38:05:000
U25Z1P,05:14:01:000
U25Z2P,05:13:00:000
U26Z1P,05:40:00:000
U26Z1,05:40:00:000
U26Z2P,05:40:06:000
U26Z2,05:40:06:000
U27Z1P,05:36:08:000
U27Z2P,05:35:00:000
U28Z1P,05:46:00:000
U28Z2P,05:46:31:000
U28Z3P,05:46:00:000
U28Z4P,05:46:38:000
U29Z1P,05:19:00:000
U29Z2P,05:21:28:000
U29Z3P,05:20:00:000
U30Z1P,05:31:00:000
U30Z2P,05:32:28:000
U30Z2P_210401,05:32:28:000
U31Z1P,05:29:50:000
U31Z2P,05:29:06:000
U31Z3P,05:29:45:000
U31Z4P,05:29:00:000
U31Z5P,05:29:25:000
U31Z6P,05:29:33:000
U31Z7P,05:29:56:000
U31Z7,05:29:56:000
U31Z8P,05:36:00:000
U31Z8,05:36:00:000
U32Z1P,05:05:59:000
U32Z2P,05:05:00:000
U33Z1P,05:32:00:000
U33Z2P,05:32:23:000
U33Z3,05:43:53:000
U33Z4,05:43:33:000
U34Z1P,05:13:03:000
U34Z2P,05:12:00:000
U34Z51P,05:18:00:000
U34Z52P,05:12:13:000
U35Z1P,05:56:00:000
U35Z1,05:56:00:000
U35Z2P,05:56:38:000
U35Z2,05:56:38:000
U36Z1P,05:49:00:000
U36Z2P,05:46:00:000
U37Z1P,05:24:00:000
U37Z2P,05:25:00:000
U38Z1P,06:04:21:000
U38Z2P,06:04:59:000
U38Z3P,06:04:00:000
U39Z1P,05:29:24:000
U39Z2P,05:29:00:000
U40Z1P,05:24:00:000
U40Z2P,05:24:48:000
U42Z1P,05:04:18:000
U42Z2P,05:03:00:000
U43Z1P,05:35:00:000
U43Z2P,05:36:20:000
U44Z1P,05:26:00:000
U44Z2P,05:26:38:000
U45Z1P,05:01:28:000
U45Z2P,05:01:00:000
U46Z1P,05:15:33:000
U46Z2P,05:15:00:000
U46Z3P,06:46:00:000
U47Z1P,05:40:31:000
U47Z2P,05:34:00:000
U47Z3P,05:34:17:000
U47Z4P,05:34:34:000
U48Z1P,06:12:32:000
U48Z2P,06:10:00:000
U48Z3P,06:11:18:000
U49Z1P,05:22:00:000
U49Z2P,05:21:32:000
U49Z3P,05:21:35:000
U49Z4P,05:20:00:000
U49Z5P,05:21:17:000
U49Z55P,05:28:00:000
U50Z1,05:21:48:000
U50Z2P,05:21:33:000
U50Z3P,05:21:24:000
U50Z4,05:21:02:000
U50Z5P,05:24:00:000
U50Z6P,05:24:17:000
U50Z7P,22:35:00:000
U50Z8P,05:25:00:000
U50Z9,05:21:07:000
U50Z13P,05:24:44:000
U50Z14P,05:24:15:000
U50Z15P,05:21:18:000
U50Z84,05:21:48:000
U50Z101P,05:20:28:000
U50Z102P,05:20:25:000
U51Z1P,05:32:00:000
U51Z1,05:32:00:000
U51Z2P,05:32:49:000
U51Z2,05:32:49:000
U52Z1P,05:40:34:000
U52Z2P,05:40:00:000
U52Z4P,05:40:24:000
U52Z5P,05:27:18:000
U52Z101P,05:26:07:000
U52Z102P,05:26:00:000
U53Z1P,05:27:00:000
U53Z2P,05:28:39:000
U54Z1P,05:19:01:000
U54Z2P,05:18:00:000
U54Z3P,05:18:43:000
U54Z4P,05:43:00:000
U54Z5P,05:19:11:000
U54Z6P,05:19:58:000
U54Z6,05:19:58:000
U54Z76,05:19:58:000
U55Z1P,05:30:35:000
U55Z2P,05:30:00:000
U55Z3P,05:41:00:000
U56Z1P,05:24:00:000
U56Z2P,05:24:14:000
U57Z1P,05:42:01:000
U57Z1,05:42:01:000
U57Z2P,05:41:00:000
U57Z2,05:41:00:000
U58Z1P,05:33:00:000
U58Z2P,05:33:54:000
U59Z1P,05:44:09:000
U59Z2P,05:44:00:000
U60Z1P,05:41:25:000
U60Z2P,05:41:00:000
U61Z1P,05:41:00:000
U61Z2P,05:41:34:000
U61Z3P,05:41:25:000
U62Z1P,05:22:00:000
U62Z1,05:22:00:000
